IssueId,IssueKee,IssueType,RuleId,Severity,Message,FileName
113271,AXI_QkBtSfYPAADgXGfP,CodeSmell,1541,BLOCKER,"Rename field ""tag"" to prevent any misunderstanding/clash with field ""TAG"" defined on line 379.",library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaSource.java
113272,AXI_QkBtSfYPAADgXGfQ,CodeSmell,1940,INFO,Do not forget to remove this deprecated code someday.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaSource.java
113274,AXI_QkBtSfYPAADgXGfS,CodeSmell,1940,INFO,Do not forget to remove this deprecated code someday.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaSource.java
113275,AXI_QkBtSfYPAADgXGfT,CodeSmell,1940,INFO,Do not forget to remove this deprecated code someday.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaSource.java
113276,AXI_QkBtSfYPAADgXGfU,CodeSmell,1940,INFO,Do not forget to remove this deprecated code someday.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaSource.java
113277,AXI_QkBtSfYPAADgXGfV,CodeSmell,1940,INFO,Do not forget to remove this deprecated code someday.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaSource.java
113278,AXI_QkBtSfYPAADgXGfW,CodeSmell,1940,INFO,Do not forget to remove this deprecated code someday.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaSource.java
113279,AXI_QkBtSfYPAADgXGfX,CodeSmell,1940,INFO,Do not forget to remove this deprecated code someday.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaSource.java
113280,AXI_QkBtSfYPAADgXGfY,CodeSmell,1940,INFO,Do not forget to remove this deprecated code someday.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaSource.java
113281,AXI_QkBtSfYPAADgXGfZ,CodeSmell,1940,INFO,Do not forget to remove this deprecated code someday.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaSource.java
113282,AXI_QkBtSfYPAADgXGfa,CodeSmell,1940,INFO,Do not forget to remove this deprecated code someday.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaSource.java
113283,AXI_QkBtSfYPAADgXGfb,CodeSmell,1896,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 23 to the 15 allowed.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaSource.java
113284,AXI_QkBtSfYPAADgXGfc,CodeSmell,1896,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 34 to the 15 allowed.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaSource.java
113285,AXI_QkBtSfYPAADgXGfd,CodeSmell,1943,INFO,Complete the task associated to this TODO comment.,library/dash/src/main/java/com/google/android/exoplayer2/source/dash/DashMediaSource.java
